census_tract,block_group_count,natrank_avg,staterank_avg
08069002501,2,14.5,2.5
08069002502,4,31,5.25
08069002503,1,22,4
08069002600,4,14.25,2.25
08069002700,4,34,5.5
08069002801,3,23,3.666666667
08069002802,4,23.5,4
08069002803,1,#DIV/0!,#DIV/0!
08071000100,3,63,9
08071000200,3,62.33333333,8.333333333
08071000300,3,39.66666667,6.333333333
08071000400,3,56.33333333,7.666666667
08071000500,2,68,9
08071000800,3,56,8
08073961700,3,80,9.5
08073961800,2,67,9
08075965900,1,47,7
08075966000,1,52,8
08075966100,5,74.8,9
08075966200,3,80.5,9.5
08075966300,4,59.75,8.25
08075966400,2,61,8
08077000200,2,43.5,6.5
08077000300,2,53,8
08077000400,4,57.25,7.5
08077000500,2,70,9
08077000601,3,52.33333333,7.333333333
08077000602,5,74.4,9
08077000700,3,67.66666667,9
08077000800,3,49.66666667,7.333333333
08077000900,1,47,7
08077001001,3,33.33333333,5.666666667
08077001002,4,30,5
08077001101,5,58.4,8
08077001102,4,44,6.75
08077001200,2,19.5,3.5
08077001301,6,60.33333333,8.166666667
08077001302,3,40.66666667,6.666666667
08077001402,3,22.33333333,3.666666667
08077001403,2,35.5,5.5
08077001404,2,17,3
08077001501,5,49.6,6.8
08077001502,3,22,3.666666667
08077001600,2,17.5,2.5
08077001702,4,38.75,5.75
08077001703,3,48.33333333,7.333333333
08077001705,3,67,8.666666667
08077001706,2,70.5,9
08077001707,3,60.66666667,8
08077001800,2,34.5,5.5
08077001900,2,26.5,4.5
08079973600,1,32,5
08081000300,2,28,4.5
08081000400,5,54.6,7.8
08081000500,6,56,7.666666667
08081000600,2,59,8
08083941100,2,77.5,9.5
08083969000,2,36.5,6
08083969100,2,37,6
08083969200,2,38,6.5
08083969300,7,55.71428571,7.571428571
08083969400,4,68.75,8.75
08083969600,3,55.66666667,8
08085966100,3,50.33333333,7.333333333
08085966201,2,48.5,7
08085966202,3,54.33333333,7.666666667
08085966300,5,70.6,9.2
08085966400,5,65,8.6
08085966501,3,24.33333333,4
08085966502,3,38,5.666666667
08085966503,2,46.5,7
08085966601,4,53.5,7.5
08085966602,3,26.66666667,4.333333333
08087000100,3,38.66666667,5.666666667
08087000200,3,43.33333333,6.333333333
08087000300,1,64,9
08087000400,3,64.33333333,8.666666667
08087000500,3,63.66666667,8.333333333
08087000600,5,64.6,8.2
08087000700,5,63,8.4
08087000800,2,45,7
08089968000,2,79,9.5
08089968100,3,91.33333333,10
08089968200,3,68.33333333,9
08089968300,4,69.75,9
08089968400,1,80,10
08089968500,2,70.5,9
08089968600,5,82.8,9.8
08091967600,4,17.5,2.75
08093000100,3,33,5.333333333
08093000200,2,27,4.5
08093000300,2,50,7.5
08093000400,2,27.5,4.5
08093000500,3,46,7
08095967600,4,54.75,8
08095967700,2,67,9
08097000100,5,17.4,2.8
08097000401,4,23.75,4
08097000402,2,65.5,8.5
08097000500,2,15.5,2.5
08099000100,2,59.5,8
08099000200,2,93.5,10
08099000300,6,67.83333333,8.5
08099000600,2,72.5,9.5
08099000700,2,75.5,9.5
08101000100,3,65,8.666666667
08101000200,2,87.5,10
08101000300,1,#DIV/0!,#DIV/0!
08101000400,3,78.33333333,9.333333333
08101000500,3,73.66666667,9.333333333
08101000600,3,94.33333333,10
08101000800,3,89.33333333,10
08101000902,5,68.4,9
08101000903,1,#DIV/0!,#DIV/0!
08101000904,3,72.66666667,9.333333333
08101000905,2,68.5,9
08101001000,4,87,10
08101001100,3,93,10
08101001200,2,93,10
08101001400,1,93,10
08101001500,2,69,9
08101001600,2,53,7.5
08101001700,3,58.66666667,8
08101001800,3,76,9.666666667
08101001900,2,77,9.5
08101002000,4,88,10
08101002100,2,87,10
08101002200,2,84,10
08101002300,4,79.75,9.75
08101002400,2,81.5,10
08101002500,3,81.66666667,10
08101002600,3,86,10
08101002700,6,73.5,9
08101002801,5,69.4,9
08101002802,3,57.66666667,7.666666667
08101002804,3,39,6
08101002806,3,35.33333333,5.666666667
08101002807,3,46.66666667,7.333333333
08101002808,2,21.5,3.5
08101002901,2,87,9.5
08101002903,2,39.5,6
08101002906,2,27.5,4.5
08101002911,1,28,5
08101002912,1,47,7
08101002913,2,33.5,5.5
08101002914,2,49,7
08101002915,1,46,7
08101002916,2,79.5,9.5
08101002917,1,39,6
08101002918,2,39.5,6
08101003001,1,77,9
08101003004,2,27,4.5
08101003103,2,66,8.5
08101003104,3,42,6.666666667
08101003105,3,36.33333333,6
08101003106,1,48,7
08101003200,3,52.33333333,7.333333333
08101003500,2,100,10
08101003600,2,83,10
08101980100,1,#DIV/0!,#DIV/0!
08103951100,4,29.5,4.75
08103951200,3,40.33333333,6.333333333
08105976700,4,71.75,8.75
08105976800,2,87,10
08105977000,4,43.75,6.5
08107000100,2,12.5,2
08107000200,2,38.5,6
08107000300,2,24.5,4
08107000400,2,12.5,2.5
08107000500,4,6.5,1
08107000600,2,10,1.5
08107000700,3,23.33333333,3.666666667
08107000800,2,32,5.5
08109977600,3,59.33333333,8.333333333
08109977700,3,71,9
08111972600,1,46,7
08113968101,2,11.5,2
08113968102,1,2,1
08113968103,2,7,1
08113968200,1,37,6
08115968300,3,71,9.333333333
08117000100,5,33.6,4.6
08117000200,5,44.6,5.6
08117000300,4,39.5,5
08117000401,4,12.5,2
08117000402,4,17,2.75
08119010103,4,25.25,4
08119010104,2,40,6
08119010105,3,25.66666667,4.333333333
08119010106,3,37.66666667,5.666666667
08119010201,2,50,7
08119010202,1,68,9
08121924100,2,61.5,8.5
08121924200,3,65.33333333,8.666666667
08123000100,3,85.66666667,9.666666667
08123000200,2,86,10
08123000300,1,#DIV/0!,#DIV/0!
08123000401,4,43.25,6.5
08123000402,3,54,7.666666667
08123000501,2,83.5,9.5
08123000502,2,84,10
08123000600,1,#DIV/0!,#DIV/0!
08123000701,2,68,9
08123000703,3,72.66666667,9
08123000704,1,39,6
08123000705,2,37,6
08123000800,4,89.75,10
08123000900,2,53,7.5
08123001003,3,91.66666667,10
08123001004,3,68.66666667,9
08123001005,6,67.5,8.5
08123001006,3,61.33333333,8.666666667
08123001100,4,56.25,7.75
08123001201,3,67.33333333,9
08123001202,2,48.5,7
08123001300,4,70.25,9
08123001404,2,39.5,5.5
08123001405,3,45.66666667,7
08123001406,1,31,5
08123001407,1,18,3
08123001408,1,26,4
08123001409,2,45.5,6.5
08123001410,2,31,5
08123001411,1,27,4
08123001412,1,22,4
08123001413,2,48,7
08123001414,1,27,4
08123001415,1,26,4
08123001416,1,17,3
08123001417,2,66.5,8
08123001500,4,44.25,6
08123001600,3,37.33333333,6
08123001700,4,46.75,6.75
08123001800,2,34.5,5.5
08123001902,2,53,7
08123001905,3,50,7
08123001906,1,36,6
08123001907,3,31.66666667,5.333333333
08123001908,3,65,8.666666667
08123002004,3,53,7.666666667
08123002005,1,15,2
08123002006,1,14,2
08123002007,3,19.33333333,3
08123002008,4,16.5,2.75
08123002009,1,9,2
08123002010,1,49,7
08123002011,1,9,2
08123002012,1,12,2
08123002013,3,19.5,3
08123002014,1,51,8
08123002015,1,20,3
08123002016,1,38,6
08123002017,1,7,1
08123002018,1,17,3
08123002019,3,33.66666667,4.666666667
08123002020,3,23.33333333,4
08123002021,1,15,2
08123002101,5,36.2,6
08123002102,4,29,5
08123002103,4,19,3
08123002203,1,14,2
08123002204,2,21.5,3.5
08123002205,3,38,5.666666667
08123002206,2,28.5,4.5
08123002207,2,27.5,4.5
08123002208,3,17.33333333,3
08123002209,1,14,2
08123002210,1,11,2
08123002300,5,31.8,5
08123002501,2,30.5,5
08123002502,3,33,5.333333333
08125963100,4,55,7.75
08125963200,5,53.6,7.4
